city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent_amount,property_tax
São Paulo,70,2,1,1,7,acept,furnished,2065,3300,211
São Paulo,320,4,4,0,20,acept,not furnished,1200,4960,1750
Porto Alegre,80,1,1,1,6,acept,not furnished,1000,2800,0
Porto Alegre,51,2,1,0,2,acept,not furnished,270,1112,22
São Paulo,25,1,1,0,1,not acept,not furnished,0,800,25
São Paulo,376,3,3,7,0,acept,not furnished,0,8000,834
Rio de Janeiro,72,2,1,0,7,acept,not furnished,740,1900,85
São Paulo,213,4,4,4,4,acept,not furnished,2254,3223,1735
São Paulo,152,2,2,1,3,acept,furnished,1000,15000,250
Rio de Janeiro,35,1,1,0,2,acept,furnished,590,2300,35
São Paulo,26,1,1,0,2,acept,furnished,470,2100,150
Campinas,46,1,1,1,10,acept,not furnished,550,580,43
São Paulo,36,1,1,0,11,acept,not furnished,359,2100,70
São Paulo,55,1,1,1,2,acept,furnished,790,4200,224
São Paulo,100,2,2,2,24,acept,furnished,900,4370,17
Campinas,330,4,6,6,0,acept,furnished,680,8000,328
São Paulo,110,2,2,1,1,acept,not furnished,700,3000,122
Rio de Janeiro,88,2,3,1,9,not acept,furnished,1614,3500,221
Rio de Janeiro,56,2,1,0,8,acept,not furnished,800,1220,0
São Paulo,600,4,5,6,0,acept,not furnished,0,12000,9500
São Paulo,100,7,4,0,0,acept,not furnished,0,3800,118
Belo Horizonte,42,1,1,1,17,not acept,furnished,470,2690,172
São Paulo,160,3,2,2,18,acept,furnished,1530,1900,167
São Paulo,35,1,1,0,0,acept,not furnished,0,1100,3
Rio de Janeiro,90,3,2,1,7,acept,not furnished,800,1800,118
São Paulo,49,1,1,1,10,acept,not furnished,480,3500,42
São Paulo,41,1,1,1,5,not acept,furnished,600,3000,0
Belo Horizonte,64,2,2,1,11,acept,not furnished,352,1500,80
Campinas,208,3,2,4,0,acept,not furnished,0,3180,100
São Paulo,20,1,1,0,5,acept,furnished,602,1800,130
São Paulo,55,2,2,2,6,acept,not furnished,780,1068,142
São Paulo,32,1,1,0,3,acept,not furnished,515,1700,29
São Paulo,80,2,2,1,11,acept,not furnished,1208,2550,216
Rio de Janeiro,45,1,1,1,10,acept,furnished,2450,2500,593
São Paulo,350,4,4,3,8,acept,not furnished,2100,4000,500
Porto Alegre,38,1,1,2,11,not acept,not furnished,450,1750,0
São Paulo,30,1,1,0,1,acept,not furnished,460,1600,0
Belo Horizonte,80,3,2,1,0,acept,not furnished,0,11000,425
São Paulo,70,2,1,0,0,not acept,not furnished,0,1150,59
Porto Alegre,40,1,1,1,6,acept,furnished,390,2990,0
São Paulo,300,4,6,4,20,acept,not furnished,3700,12000,1584
São Paulo,240,3,2,3,0,acept,not furnished,0,3500,292
Belo Horizonte,200,4,2,1,7,not acept,not furnished,850,2550,9
Belo Horizonte,45,1,1,1,5,acept,not furnished,500,1631,192
São Paulo,360,4,5,0,1,acept,not furnished,4000,6410,2000
São Paulo,40,1,1,1,10,acept,furnished,978,2829,0
Belo Horizonte,100,3,1,0,13,not acept,not furnished,700,1220,10
Porto Alegre,42,1,1,2,2,acept,furnished,190,1770,17
Campinas,250,3,3,2,1,acept,not furnished,2200,1700,256
Campinas,48,1,1,1,2,acept,furnished,505,1600,59
Rio de Janeiro,90,3,3,1,10,acept,not furnished,1250,3800,147
São Paulo,45,1,2,1,15,acept,furnished,856,3900,150
Rio de Janeiro,150,2,3,4,6,acept,not furnished,1700,4000,700
São Paulo,60,2,1,0,2,acept,not furnished,200,1445,0
São Paulo,31,1,1,0,4,acept,not furnished,370,2350,56
São Paulo,210,4,5,4,4,not acept,not furnished,1650,9000,772
São Paulo,280,3,1,2,0,acept,not furnished,0,6000,113
Campinas,93,2,3,2,9,acept,not furnished,663,5500,133
Porto Alegre,75,3,2,1,9,acept,not furnished,340,1800,109
São Paulo,194,3,4,3,0,acept,not furnished,0,4000,70
São Paulo,41,1,1,1,6,acept,furnished,523,4000,131
Rio de Janeiro,65,1,1,1,8,acept,furnished,2000,5100,250
São Paulo,70,2,1,1,13,acept,not furnished,761,2150,67
São Paulo,278,4,5,2,16,acept,furnished,4052,9000,1261
Rio de Janeiro,35,1,1,0,5,acept,not furnished,306,1521,21
Campinas,300,4,4,3,2,acept,not furnished,2300,6000,417
São Paulo,61,2,1,1,4,acept,not furnished,459,1850,0
Rio de Janeiro,130,3,2,1,7,acept,not furnished,1660,1700,475
Rio de Janeiro,80,2,1,1,20,acept,not furnished,500,900,90
São Paulo,164,4,4,2,6,not acept,not furnished,2159,5000,386
Belo Horizonte,220,4,2,3,3,acept,not furnished,450,2422,125
São Paulo,45,1,1,0,0,acept,not furnished,0,1050,46
São Paulo,108,3,2,2,7,acept,not furnished,1290,5600,435
Belo Horizonte,128,1,1,0,4,acept,furnished,418,2100,182
Rio de Janeiro,60,1,1,0,10,not acept,not furnished,450,1800,48
São Paulo,250,4,5,4,6,acept,not furnished,2050,9800,998
Porto Alegre,47,1,1,1,1,not acept,furnished,400,2200,0
Belo Horizonte,170,4,3,4,9,not acept,not furnished,744,2700,296
São Paulo,45,1,1,0,1,not acept,not furnished,300,1240,0
São Paulo,42,1,1,1,15,acept,not furnished,686,3500,123
São Paulo,164,4,4,3,1,acept,not furnished,1840,6000,550
São Paulo,70,3,1,1,1,acept,not furnished,700,1020,200
Porto Alegre,100,4,3,1,8,acept,not furnished,600,2200,159
São Paulo,64,2,2,2,4,acept,furnished,1300,4500,440
Belo Horizonte,68,2,1,1,3,acept,not furnished,320,1200,27
Belo Horizonte,75,2,2,2,14,not acept,not furnished,620,2500,264
São Paulo,600,4,4,4,9,acept,not furnished,7400,8500,3368
São Paulo,63,2,2,0,15,not acept,not furnished,590,1550,152
São Paulo,145,3,4,3,1,not acept,not furnished,1200,6000,750
São Paulo,85,2,2,2,3,not acept,not furnished,1500,2800,292
São Paulo,254,4,4,4,7,acept,not furnished,3366,9000,1800
Porto Alegre,350,4,4,4,0,acept,furnished,1,9000,359
São Paulo,300,4,4,3,0,acept,not furnished,0,3500,584
Belo Horizonte,296,4,3,2,0,acept,not furnished,0,13500,423
São Paulo,64,2,2,2,8,acept,not furnished,450,2800,30
São Paulo,133,3,2,0,6,acept,not furnished,813,2957,38
Campinas,44,1,1,0,7,acept,not furnished,350,550,12
Campinas,240,3,4,2,0,acept,not furnished,0,3000,250
Porto Alegre,70,3,2,1,4,acept,not furnished,490,2500,8
São Paulo,22,1,1,0,26,acept,not furnished,302,2050,45
Porto Alegre,50,1,1,1,1,acept,not furnished,350,950,50
Porto Alegre,67,3,2,2,4,acept,not furnished,600,2200,50
São Paulo,31,1,1,0,6,acept,furnished,430,2300,0
Rio de Janeiro,90,2,1,1,1,acept,furnished,850,3468,191
Rio de Janeiro,109,3,3,1,1,acept,not furnished,2000,3800,300
Belo Horizonte,400,4,2,2,0,not acept,not furnished,0,2500,74
São Paulo,300,4,5,4,0,acept,furnished,0,14000,1167
Campinas,284,4,3,3,4,acept,not furnished,2340,6000,483
Porto Alegre,70,2,1,1,3,acept,furnished,360,2400,30
Rio de Janeiro,309,4,5,4,7,acept,not furnished,2661,6500,682
São Paulo,70,2,1,0,0,acept,not furnished,0,2100,134
São Paulo,360,3,4,1,10,acept,not furnished,2300,10000,584
São Paulo,30,1,1,1,10,not acept,not furnished,886,1500,0
Campinas,80,2,2,2,11,acept,not furnished,832,2200,171
